"gene","logFoldChange"
"Bradi5g11370.1",-1.39986741005922
"Bradi1g62420.1",-0.979121963663159
"Bradi5g23135.1",-2.21855377220148
"Bradi2g03130.3",-2.95189828716831
"Bradi3g22740.4",-1.00994032123106
"Bradi3g36540.1",2.04179968938567
"Bradi5g08880.1",5.179072427873
"Bradi2g55120.1",-1.07107327526862
"Bradi3g41691.1",-7.40752869477628
"Bradi5g26380.1",-7.2400607476716
"Bradi2g60503.1",-2.7620783965648
"Bradi2g22907.1",-3.19145961457667
"Bradi4g29852.2",1.25710463694912
"Bradi2g04180.6",-1.0288197700459
"Bradi1g05100.2",-1.63487717870597
"Bradi3g07230.1",-1.01629646651728
"Bradi4g04656.1",1.06057692765451
"Bradi1g03780.1",-4.89178745155606
"Bradi2g24910.2",-1.31521965966553
"Bradi1g58491.1",2.53909222961076
"Bradi3g26920.4",-1.38353190921621
"Bradi3g03597.1",1.19392094048312
"Bradi3g22880.3",-1.84216334698503
"Bradi4g29030.1",-1.52298965582036
"Bradi3g44290.1",2.17622401806625
"Bradi3g28990.1",1.26152809753942
"Bradi3g49220.1",1.17045076206622
"Bradi3g59237.3",1.16046817452918
"Bradi4g10610.5",-1.6526575894333
"Bradi3g11220.6",-1.33880442269784
