HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi3g50917.3 0 0 0 0 15 0 0 0
Bradi3g50930.3 548 342 157 353 811 548 420 608
Bradi3g50938.1 0 0 0 0 0 0 0 0
Bradi3g50947.2 101 31.766 13 82.841 155.222 29.421 57 40.619
Bradi3g50953.1 16 7 0 0 12 0 2 0
Bradi3g50960.1 0 0 0 0 0 0 1 0
Bradi3g50967.1 0 0 0 0 7 0 3 8
Bradi3g50990.1 32 24 17 78 105.001 114 22 79
Bradi3g50996.1 81.003 51.778 6.995 9.299 109.19 72.627 45.568 47.666
Bradi3g51002.1 25.296 47.211 11.967 53.305 95.034 65.522 72.682 75.168
Bradi3g51010.3 1526 2130 298 809 2242 1270 1001 951
Bradi3g51020.3 1822 1157 120 1144 2501 1531 1048 1716
Bradi3g51030.1 0 4 0 0 0 0 0 0
Bradi3g51040.1 285 206 30 151 468 188 135 238
Bradi3g51050.2 0 0 0 0 0 0 0 0
Bradi3g51060.1 552 386 56 415 1128 584 336 473
Bradi3g51070.1 0 0 0 1 7 0 2 0
Bradi3g51077.6 339 303 60 141 558 275 247 325
Bradi3g51090.1 1228.995 759.049 158.464 1295.001 1491 1108.999 809 1136.002
Bradi3g51091.1 0 0 0 0 0 0 0 0
Bradi3g51093.1 0 0 0 0 0 0 0 0
Bradi3g51095.1 47 53 6 37 46 39 20 27
Bradi3g51100.1 67 51 14 20 71 21 42 32
Bradi3g51110.1 65.477 40.238 2.01 26.085 85.446 31.726 13.262 16.536
Bradi3g51120.2 161.523 85.762 41.99 103.915 184.554 112.274 89.738 139.464
Bradi3g51130.2 158 114 30 215 268 222 227 210
Bradi3g51140.1 2185 2357 524 1367 5568 2623 1806 1689
Bradi3g51151.1 346 201 39 205 401 182 167 224
Bradi3g51160.2 0 0 0 9 8 1 5 13
Bradi3g51170.1 175 83 20 55 194 52 88 72
Bradi3g51182.1 9 16 6 2 26 16 13 13
Bradi3g51190.1 432 429 46 386 1069 362 330 487
Bradi3g51200.1 1639.537 7607.851 512.195 985.186 4885.591 3525.117 1700.726 1474.471
Bradi3g51207.2 351 190 54 156 545 180 146 302
Bradi3g51217.1 0 7 0 0 0 0 2 0
Bradi3g51221.1 0 0 0 0 0 0 0 0
Bradi3g51223.1 0 0 0 0 0 0 0 0
Bradi3g51230.1 87 55 21 66 193 107 52 63
Bradi3g51240.1 619 373 30 383 678 475 403 440
Bradi3g51245.1 265 188 87 213 384 323 163 288
Bradi3g51250.1 315 251 47 176 456 177 167 250
Bradi3g51260.2 367.775 247.923 16 147.032 505.992 194.21 131 141
Bradi3g51270.1 0 13 8 17 28 16 8 31
Bradi3g51280.1 408 442 99 458 4225 488 387 1113
Bradi3g51290.1 74 52 30 65 268 144 79 70
Bradi3g51300.1 77 47 34 65 267 225 96 134
Bradi3g51310.1 48 32 8 58 167 125 48 89
Bradi3g51312.1 0 0 0 0 0 0 0 5
Bradi3g51315.2 25 13 0 21 63 14 2 23
Bradi3g51320.1 0 0 0 0 0 0 0 0
Bradi3g51330.1 0 3 0 0 23 14 7 5
Bradi3g51340.1 1735 1614 179 1018 3506 1726 949 1145
Bradi3g51350.1 14 22 10 42 87 50 31 61
Bradi3g51354.1 20 28 26 7 96 60 18 84
Bradi3g51358.2 126 156 32 101 240 133 94 160
Bradi3g51362.1 63 30 11 16 29 57 30 70
Bradi3g51370.1 958 401 259 1386 2235 1420 619 1669
Bradi3g51380.4 324 158 22 148 365 194 185 210
Bradi3g51387.1 6274 7642.999 1979.999 3269 12272.998 7905.988 4227 8115.021
Bradi3g51389.1 0 0 0 0 1 0 0 0
Bradi3g51392.1 0 0 0 0 0 0 0 0
Bradi3g51397.3 121 104 23 88 224 117 78 124
Bradi3g51409.1 0 21 1 3 12 9 0 0
Bradi3g51420.8 358 367 63 199 849 344 351 315
Bradi3g51430.1 0 0 0 0 0 0 0 0
Bradi3g51437.1 634 437 100 392 783 623 429 535
Bradi3g51447.1 84 175 21 60 410 250 168 103
Bradi3g51457.1 463 306 30 302 803 354 200 359
Bradi3g51470.1 0 0 0 0 0 0 0 0
Bradi3g51480.1 0 9 0 4 7 1 7 12
Bradi3g51490.4 923 986 39 295 1396 774 612 721
Bradi3g51500.4 80 18 3 28 62 14 13 30
Bradi3g51510.1 445 366.991 89.003 238.118 901.004 401.993 432.994 613.029
Bradi3g51520.2 2810 2984 1211 1668 4792 5271 2472 2122
Bradi3g51530.1 1915.767 1767.114 278.87 1140.5 3384.561 1504.026 1120.538 1553.262
Bradi3g51535.2 1101.233 738.886 147.13 645.5 1469.439 767.974 486.462 799.738
Bradi3g51540.5 1205 875 193 780 1764 919 634 1093
Bradi3g51550.1 0 0 0 0 0 2 1 0
Bradi3g51560.1 1141 658 352 1135 1924 1240 608 1421
Bradi3g51565.1 0 0 0 0 0 0 0 0
Bradi3g51570.4 420 256 36 241 760 324 143 270
Bradi3g51577.3 2838 1257 300 1947 5295 2373 1379 3214
Bradi3g51581.1 0 0 0 0 0 0 0 0
Bradi3g51585.1 0 4 0 0 0 7 3 2
Bradi3g51590.1 0 1 16 0 67 11 7 5
Bradi3g51600.1 350 268 35 210 578 254 125 223
Bradi3g51610.1 13 19 1 61 348 12 8 6
Bradi3g51617.1 435.998 267 61 264.004 541.998 318.999 288 398.01
Bradi3g51630.5 0 15 2 126 765 19 1 1
Bradi3g51640.1 455 321 88 397 927 451 352 216
Bradi3g51650.1 641 440 58 383 953 470 382 503
Bradi3g51660.4 33 72 23 55 254 28 97 78
Bradi3g51670.1 10 8 0 16 20 5 10 18
Bradi3g51680.1 1461 801 224 1051 2893 1664 881 1309
Bradi3g51685.1 155 47 48 44 199 162 112 131
Bradi3g51690.5 56 50 4 34 70 57 39 53
Bradi3g51696.1 939 641.053 168 577 1489 713.007 449 754.961
Bradi3g51703.2 31 144 58 42 360 96 82 74
Bradi3g51707.1 118 103 47 126 403 322 210 94
Bradi3g51720.1 0 2 1 0 1 12 0 1
Bradi3g51730.1 1049 680 52 587 1821 851 515 734
Bradi3g51740.1 204.166 66.044 9 127.078 267.117 214.285 133.091 189.106
Bradi3g51750.1 770.834 575.956 138 527.922 1567.883 711.715 490.909 596.894
Bradi3g51757.2 96 76 17 155 465 51 38 81
Bradi3g51770.4 0 1 0 11 1 1 0 5
Bradi3g51777.2 47 80 24 37 186 19 16 56
Bradi3g51781.1 0 0 0 0 0 0 0 0
Bradi3g51785.1 0 0 0 0 0 0 0 0
Bradi3g51790.1 112 105 37 69 280 106 71 116
Bradi3g51800.3 0 0 0 2 0 0 0 0
Bradi3g51810.1 75 84 24 61 328 132 74 123
Bradi3g51820.2 481 460 108 380 1224 484 267 456
Bradi3g51831.1 926 1147 299 609 3257 1490 898 766
Bradi3g51840.5 72 3 1 17 49 18 21 21
Bradi3g51850.3 378 369 24 270 911 345 187 270
Bradi3g51860.1 99 63 26 40 88 124 69 109
Bradi3g51866.1 0 0 0 0 1 5 9 0
Bradi3g51872.1 0 0 0 0 4 3 45 0
Bradi3g51880.1 0 0 0 0 1 0 7 0
Bradi3g51890.1 0 5 0 0 0 0 14 0
Bradi3g51900.1 0 0 0 0 0 0 0 0
Bradi3g51910.1 406 256 24 257 718 421 366 343
Bradi3g51920.1 378 467 154 388 367 1382 693 521
Bradi3g51925.1 2 4 1 4 0 12 9 4
Bradi3g51930.1 125.926 280.373 59.499 137.861 507.756 243.744 160.129 267.724
Bradi3g51940.6 108 81 21 72 188 161 98 117
Bradi3g51950.1 373 248 16 101 425 188 179 207
Bradi3g51960.1 23 9 0 14 33 30 6 13
Bradi3g51963.1 0 0 0 0 4 0 0 0
Bradi3g51970.1 245 193 28 218 515 253 148 146
Bradi3g51980.1 78 35 40 35 122 78 52 82
Bradi3g51985.1 12 0 0 4 28 0 10 7
Bradi3g51990.4 85 31 6 46 207 59 36 74
Bradi3g52000.4 394 387 84 425 1100 403 176 310
Bradi3g52006.1 428 537.99 102 314 1513 632 396 426
Bradi3g52009.1 8 0 0 9 29 7 1 3
Bradi3g52013.1 3 0 1 1 7 4 1 1
Bradi3g52016.1 61 72 25 44 338 125 54 41
Bradi3g52020.1 16 6 0 4 102 12 5 1
Bradi3g52030.2 89 147 37 174 431 254 158 163
Bradi3g52040.1 207 200 14 177 377 222 161 225
Bradi3g52050.1 19 24 0 23 104 28 31 42
Bradi3g52055.2 5 0 0 3 0 0 0 0
Bradi3g52060.1 69 42 44 93 215 143 99 124
Bradi3g52070.3 457 369 26 154 649 276 178 236
Bradi3g52072.1 0 0 0 6 0 0 0 0
Bradi3g52075.1 0 0 0 0 0 0 0 4
Bradi3g52080.1 307 215 94 374 907 282 197 322
Bradi3g52090.1 254 226 102 196 520 307 263 284
Bradi3g52096.1 241 86 31 123 265 166 132 193
Bradi3g52102.1 317 300 40 130 536 168 114 121
Bradi3g52110.1 85 117 10 178 339 218 171 175
Bradi3g52120.1 0 0 0 0 0 0 0 0
Bradi3g52130.1 3079 2729 268 1721 5441 2495 1509 2167
Bradi3g52140.1 1150 1111 132 612 2287 1124 711 762
Bradi3g52150.1 136 204 20 144.789 302 241 192 189
Bradi3g52160.1 302 243 116 386 922 471 328 666
Bradi3g52170.1 519.999 862.995 127 177.001 940 494 340.001 317.001
Bradi3g52176.1 0 0 0 0 0 0 0 0
Bradi3g52180.1 104 67 58 54 199 93 80 90
Bradi3g52185.1 0 0 0 0 0 0 0 0
Bradi3g52190.1 370 379 66 131 601 399 183 268
Bradi3g52195.1 0 0 0 0 0 0 0 0
Bradi3g52200.2 433 303.332 25 176 579.444 209 169 205.055
Bradi3g52210.1 145 86 16 106 274 106 83 140
Bradi3g52220.2 897 384 260 858 1468 722 446 1256
Bradi3g52230.6 0 15.483 0 10.028 7.003 11.849 23.032 9
Bradi3g52240.1 462 343 45 250 695 386 197 269
Bradi3g52250.3 520 393 68 420 1051 618 325 384
Bradi3g52260.1 42 31 4 17 63 39 17 17
Bradi3g52266.1 342 378 143 257 921 488 313 554
Bradi3g52270.1 20 38 5 12 62 22 22 14
Bradi3g52277.1 274 340 82 134 598 401 246 227
Bradi3g52290.1 298 378 41 242 709 323 235 424
Bradi3g52300.1 294 402 47 177 805 383 200 384
Bradi3g52307.1 308 184 59 685 1637 431 256 403
Bradi3g52320.1 66 32 5 16 59 66 68 48
Bradi3g52330.1 385 372 47 226 551 376 325 291
Bradi3g52340.2 1573 1494.003 162 928 3641.241 1444 794 1070.669
Bradi3g52350.1 247 250 111 461 1336 321 326 330
Bradi3g52359.1 89 115 19 293 347 258 151 95
Bradi3g52367.2 513 329 51 300 1010 470 433 333
Bradi3g52380.1 2239 2497 799 1346 5438 2741 1406 1434
Bradi3g52390.1 1532 959 199 1505 4250 1881 1182 1860
Bradi3g52400.1 13789 7991 1769 10112 22076 7053 4173 5613
Bradi3g52410.1 63 39 4 46 157 36 23 55
Bradi3g52420.1 0 0 2 1 21 3 21 1
Bradi3g52427.1 0 0 2 0 0 4 0 0
Bradi3g52437.3 1445 880 161 881 1980 855 617 974
Bradi3g52447.1 225 230 75 280 764 489 364 400
Bradi3g52460.2 4000 4004 1332.005 2895 10912 6828 4366.948 4753
Bradi3g52470.1 1008 808 57 714 1822 897 765 1091
Bradi3g52480.1 523 316 28 307 848 358 255 401
Bradi3g52490.1 173.161 93.346 36.426 93.219 209.166 79.302 98.88 159.005
Bradi3g52500.3 188 160 8 115 552 161 272 161
Bradi3g52505.2 20 35 9 154 248 42 56 46
Bradi3g52510.3 77 38 13 67 105 69 53 47
Bradi3g52517.1 0 0 0 0 0 0 0 0
Bradi3g52519.1 0 2 0 0 0 0 0 1
Bradi3g52522.1 66 26 4 26 75 13 18 48
Bradi3g52530.1 2780 1611 273 2060 4344 1661 1289 2629
Bradi3g52537.1 25 29 1 28 96 50 61 49
Bradi3g52547.1 291 196 56 233 511 305 207 261
Bradi3g52560.1 1608 1075 352 1030 2412 1124 733 841
Bradi3g52570.1 164.857 106.349 13.536 230.073 438.402 198.446 138.471 170.776
Bradi3g52580.1 260.143 230.651 30.464 234.927 432.598 373.554 221.529 384.224
Bradi3g52590.1 31 47 16 21 252 45 19 26
Bradi3g52600.2 510 316 54 322 1021 375 207 219
Bradi3g52607.6 771 570 67 508 1855 489 373 667
Bradi3g52620.8 1905 2241 785 1398 4828 3157 2115 2108
Bradi3g52640.1 780 468 80 463 1345 885 341 502
Bradi3g52650.2 292 290 107 225 451 443 153 284
Bradi3g52660.1 206 604 69 426 1730 238 206 207
Bradi3g52670.1 228 285 36 224.233 673 283 171 249.4
Bradi3g52680.1 1035 510 215 1990.767 1317 1625 980 1224.6
Bradi3g52690.7 273 155 9 372 872 150 138 151
Bradi3g52697.3 834.314 716.119 144 796.877 2115.136 830.057 427.518 541.417
Bradi3g52710.6 173.686 221.881 0 37.123 203.864 71.943 71.482 90.583
Bradi3g52720.2 1381 958 172 766 2851 822 570 631
Bradi3g52727.1 1026 658.243 186.217 668.272 1748 1245 866 1080
Bradi3g52740.5 2290.997 1567.757 313.783 1484.728 4172 1583 973 1342
Bradi3g52746.1 251 116 9 96.001 225 91.001 97 128
Bradi3g52750.1 154 117 13 80.999 244 176.999 67 104
Bradi3g52760.4 414 386 116 599 1584 409 238 192
Bradi3g52767.1 810.951 574 123 504 1259 686.009 555 741
Bradi3g52780.1 1105 2039 459 957 5264 1653 798 892
Bradi3g52790.2 623 722 89 202 647 614 328 420
Bradi3g52800.3 1212 834 68 501 1361 669 407 668
Bradi3g52807.4 41 26 17 92 117 35 27 48
Bradi3g52818.1 532 558 105 339 1391 735 407 356
Bradi3g52830.1 284 247 29 217 639 427 265 258
Bradi3g52837.1 160 95 20 107 276 193 141 142
Bradi3g52847.1 94 86 72 121 205 224 174 201
Bradi3g52856.1 115.457 71.765 14.502 131.972 209.264 169.391 87.669 227.428
Bradi3g52862.1 2497.543 2405.235 368.498 1492.028 5826.736 1928.609 1202.331 1648.572
Bradi3g52870.3 39 9 0 4 39 21 33 28
Bradi3g52880.1 78 44 13 27 163 66 52 96
Bradi3g52890.1 50 190.741 37 46 367 154 97 77
Bradi3g52900.3 548 819.259 138 320 1634 667 448 457
Bradi3g52910.3 564 387 36 383 970 423 356 396
Bradi3g52920.1 561 648.003 165 416.501 1463.558 690.126 530 535
Bradi3g52930.3 2457.744 1923.006 410.071 1961.708 5663.391 2770.212 1640.634 2656.022
Bradi3g52951.1 1077 508 69 616 1527 555 406 783
Bradi3g52960.1 29 12 7 33 114 20 10 19
Bradi3g52970.1 59 56 25 61 192 108 73 116
Bradi3g52980.1 730 603 81 527 1376 775 359 655
Bradi3g52990.1 12 2 2 11 17 20 6 8
Bradi3g53000.1 7784 6653 841 4670 17045 7653 5056 4978
Bradi3g53010.1 17 14 7 14 33 28 7 25
Bradi3g53020.1 2254 1105 153 1250 2757 1177 885 1602
Bradi3g53030.1 125 162 26 122 289 118 123 120
Bradi3g53040.1 1725 1584 147 916 3499 1184 966 1193
Bradi3g53047.2 4968 3631 303 2918 7684 3391 2325 3305
Bradi3g53060.2 0 0 0 0 7 18 1 4
Bradi3g53070.1 97 157 23 37 314 61 33 62
Bradi3g53080.2 13 28 10 25 115 60 66 56
Bradi3g53085.1 0 3 4 15 2 4 10 3
Bradi3g53090.4 910 481 97 571 1352 626 555 849
Bradi3g53095.2 8 0 0 0 16 2 3 0
Bradi3g53100.5 2021 1243 110 1081 2740 1418 786 1257
Bradi3g53107.5 855 557.997 75 356.998 957.996 649 393 574
Bradi3g53111.1 0 3.003 1 4.002 8.004 0 1 0
Bradi3g53113.1 153 96 23 77 128 152 77 69
Bradi3g53120.1 202 108 24 133 318 162 145 190
Bradi3g53130.1 302 203 23 216 558 254 189 304
Bradi3g53140.1 295 356 198 291 1161 466 365 272
Bradi3g53147.1 189 112 64 68 263 167 92 106
Bradi3g53160.4 1206 900 120 740 1996 894 688 1097
Bradi3g53170.3 415 194 94 425 768 381 301 525
Bradi3g53180.1 14 18 15 50 166 33 7 26
Bradi3g53186.1 0 0 0 0 0 0 0 4
Bradi3g53190.1 6 9 2 5 45 1 6 1
Bradi3g53200.1 458 492 117 354 1177 557 357 498
Bradi3g53220.1 10 40 1 9 55 70 76 58
Bradi3g53227.1 14 29 0 26 41 21 21 40
Bradi3g53240.2 402 250 37 207 566 253 214 232
Bradi3g53247.1 3684 2296 241 857 3307 1583 1136 1351
Bradi3g53253.1 1 4 0 0 0 0 0 4
Bradi3g53260.1 2556 1998 375 1687 4741 2578 1757 2352
Bradi3g53265.1 17 28.047 2 13 49 15 5 15.012
Bradi3g53270.3 197 237 54 203 456 185 155 244
Bradi3g53280.1 748 461 52 517 1175 438 355 591
Bradi3g53290.1 807 663 176 643 1545 879 822 787
Bradi3g53300.3 132 238 27 91 375 202 218 281
Bradi3g53310.1 639 426 109 306 1045.008 578 274 482
Bradi3g53320.1 890 631 207 1147 2558 1016 513 904
Bradi3g53327.1 975 776 282 688 2124 908 711 726
Bradi3g53341.1 428 361 67 196 756.989 347 260 175
Bradi3g53350.1 1304 528 159 1486 2474 991 574 1300
Bradi3g53361.1 0 0 0 1 0 0 3.012 0
Bradi3g53370.6 1909.24 1692.834 431.191 1834.393 3941.619 1557.212 2233.842 2363.974
Bradi3g53380.2 121 168 31 77 298 205 128 181
Bradi3g53390.1 325 355 69 216 691 650 310 291
Bradi3g53400.2 849 1022 200 610 2391 1138 800 746
Bradi3g53410.1 1560 2099 812 1454 5298 3315 1803 1576
Bradi3g53415.1 0 0 0 0 0 0 0 0
Bradi3g53420.3 3347 1872 183 1563 4293 2096 2052 2644
Bradi3g53430.1 1514 2175 443 1012 10166 1716 1162 1891
Bradi3g53440.1 226 139 54 199 492 312 157 213
Bradi3g53450.1 99 81 37 34 121 61 24 50
Bradi3g53460.1 6783 8095 2864 3982 20914 13997 7523 5466
Bradi3g53470.1 51 84 70 66 252 144 117 90
Bradi3g53480.1 48 60 33 71 149 84 44 104
Bradi3g53485.1 5 0 0 0 1 0 0 0
Bradi3g53491.1 1787 3014 671 2301 9135 2487 1429 2859
Bradi3g53499.1 0 0 0 0 0 0 0 0
Bradi3g53502.2 381 411 41 275 836 350 190 315
Bradi3g53520.1 18808 17540 2774 13504 43310 20557 14425 17090
Bradi3g53530.1 877 651 97 750 1649 882 521 889
Bradi3g53540.1 674 531 118 509 1217 732 392 753
Bradi3g53550.1 613 542 35 291 1197 457 341 480
Bradi3g53560.1 91 70 25 34 148 153 84 61
Bradi3g53567.1 451 353 35 366 820 396 288 351
Bradi3g53573.1 0 0 0 0 0 0 0 0
Bradi3g53580.5 392.924 522.933 44 276 866 484.002 309 419
Bradi3g53592.1 66 90 18 51 140 105 82 47
Bradi3g53601.1 0 0 7 0 0 0 4 0
Bradi3g53610.1 82 111 15 40 191 80 90 62
Bradi3g53620.1 0 5 0 2 3 0 0 0
Bradi3g53630.1 117 38 54 212 402 221 91 198
Bradi3g53637.1 0 0 0 7 8 0 0 3
Bradi3g53650.1 162.002 271 69 117 299 192 167 193
Bradi3g53660.1 0 4 0 3 0 2 0 0
Bradi3g53670.1 212 211 18 218 571 130 123 184
Bradi3g53681.1 0 0 0 5 11 0 34 0
Bradi3g53690.4 32 76 18 124 301 78 35 55
Bradi3g53696.1 107.357 136.069 6 135.768 401.256 105.068 149.203 131.248
Bradi3g53702.1 1073.643 827.931 106 983.232 2649.744 1123.932 576.797 1200.752
Bradi3g53710.1 1268 1375 327 917 2899 1468 1174 1292
Bradi3g53720.1 345 292 190 462 847 651 494 643
Bradi3g53730.1 39 33 12 52 79 75 69 99
Bradi3g53740.1 932 555 51 472 1372 648 497 686
Bradi3g53743.1 4.05 16.329 8.447 1.014 30.973 17.161 5.43 3.038
Bradi3g53747.2 873 829 111 607 1613 651 468 756
Bradi3g53760.1 1093 1629 458 864 3867 1797 1050 1137
Bradi3g53770.1 364 286.003 40 225 674.985 284 182.141 244.159
Bradi3g53775.1 46 54 1 28 62 23 22 50
Bradi3g53780.3 289 252 31 315 1068 238 178 300
Bradi3g53790.4 1752 1862 295 1797 2466 1749 1305 1975
Bradi3g53797.1 26 34 12 47 121 54 54 77
Bradi3g53810.3 494 239 31 210 542 255 188 358
Bradi3g53820.1 156 128 16 38 165 77 32 41
Bradi3g53830.1 322 173 102 380 667 360 258 425
Bradi3g53837.2 19 4 3 14 22 28 3 3
Bradi3g53850.1 166 203 19 127 495 210 186 186
Bradi3g53860.1 1826 1770 410 1319 3269 2278 1666 1646
Bradi3g53870.1 4641 3966 765 3138 8727 3562 2276 3615
Bradi3g53880.1 254 300 63 180 758 397 273 273
Bradi3g53882.1 0 0 0 0 0 0 0 0
Bradi3g53884.1 4 0 0 0 3 0 4 2
Bradi3g53885.1 32.912 9.144 20.703 15.482 84.118 24.392 20.397 19.709
Bradi3g53886.1 0 0 0 0 0 0 0 0
Bradi3g53887.1 952 562 57 424 1145 566 437 619
Bradi3g53900.1 61 28 11 27 122 79 53 55
Bradi3g53903.1 0 0 0 0 4 0 0 0
Bradi3g53907.3 1993 687 275 1853 3837 1001 825 1995
Bradi3g53920.1 1639 1898 705 1171 4779 1778 1048 1236
Bradi3g53930.1 103 113 6 44 194 119 60 91
Bradi3g53940.1 855 854 181 624 2483 940 523 704
Bradi3g53950.1 59 54 7 48 193 48 61 61
Bradi3g53953.1 17 7 3 1 8 17 19 14
Bradi3g53956.1 0 0 0 0 0 0 0 1
Bradi3g53960.1 960 468 74 635 1344 605 451 960
Bradi3g53970.2 2849 1684 377 2146 5055 2285 1628 2560
Bradi3g53980.1 10 15 12 40 59 60 29 55
Bradi3g53987.3 1643.284 963.698 177.637 1300.345 2980.309 1690.832 932.558 1628.718
Bradi3g54000.1 177 143 54 123 302 231 118 219
Bradi3g54010.1 15 44 21 42 161 51 46 47
Bradi3g54020.1 2905 2180 455 1813 5323 2560 1809 2792
Bradi3g54030.1 696 344 35 278 635 333 174 408
Bradi3g54040.1 876.107 575 45 488 1011 493 363 504
Bradi3g54047.1 0 2 0 1 9 5 0 1
Bradi3g54060.1 8 22 22 28 34 91 52 72
Bradi3g54070.1 410 216 68 178 424 349 186 335
Bradi3g54080.1 741 534 36 289 835 429 412 529
Bradi3g54090.1 0 0 0 0 0 0 0 0
Bradi3g54100.1 246 135 15 134 347 130 103 127
Bradi3g54110.3 822 661.35 167 473.718 1363.63 672.08 466.669 661.704
Bradi3g54120.1 1613 1474 216 960 3013 1146 672 1239
Bradi3g54130.1 665 430 95 345 945 525 326 419
Bradi3g54140.1 1358 765 97 671 1950 650 457 878
Bradi3g54150.1 731.158 546.602 64.075 367.681 1276.44 668.04 342.467 451.221
Bradi3g54160.1 3 49 9 6 30 28 20 17
Bradi3g54170.1 578.891 608.02 312.901 374.938 1571.524 933.189 501.193 593.577
Bradi3g54177.1 0 0 3 0 0 0 0 0
Bradi3g54190.1 523 371 53 244 999 410 352 436
Bradi3g54200.1 2396 2321 339 1680 5085 2705 1643 2215
Bradi3g54210.2 4388 3280 620 4044 12125 4660 2463 3709
Bradi3g54220.3 1394 871 249 1266 2772 1075 702 1522
Bradi3g54230.1 217 148 50 199 502 203 85 181
Bradi3g54231.1 81 47 44 56 189 92 94 85
Bradi3g54233.1 0 0 0 0 0 0 0 0
Bradi3g54234.1 0 0 0 0 0 0 0 0
Bradi3g54236.1 364 294 73 288 431 449 373 366
Bradi3g54240.1 9 6 9 9 21 8 9 22
Bradi3g54242.1 0 0 0 0 0 0 0 0
Bradi3g54244.1 0 0 0 0 0 0 0 0
Bradi3g54247.2 1073 1153 105 523 1640 826 476 758
Bradi3g54259.1 0 13 11 15 60 19 13 6
Bradi3g54267.1 334 196 15 188 431 208 147 264
Bradi3g54280.1 8 42 0 31 85 46 29 27
Bradi3g54290.3 346.144 341.997 61 378.999 1219.454 292.99 191.582 317.997
Bradi3g54300.2 151 121 12 97 203 72 78 102
Bradi3g54310.1 0 0 0 0 0 0 0 0
Bradi3g54320.3 1694 1339 269 1100 3084 1672 1082 1857
Bradi3g54330.1 138 114 19 111 278 206 95 128
Bradi3g54341.1 558 515 107 391 1017 654 344 456
Bradi3g54350.2 1059 906 203 758 1927 1211 957 1281
Bradi3g54360.1 2385.816 3141 750 1309.894 6519 2839 1595 1719
Bradi3g54370.1 657 712 99 339 1095 927 464 918
Bradi3g54372.1 0 1 0 0 0 0 0 0
Bradi3g54375.1 0 0 0 0 0 0 0 0
Bradi3g54377.1 20 1.7 0 0 33.156 1 0 5.863
Bradi3g54380.1 308 316 59 251 592 244 173 304
Bradi3g54387.3 398 198 58 298 699 250 184 348
Bradi3g54399.1 36 68 37 50 191 82 53 50
Bradi3g54409.1 8 0 0 1 0 2 0 3
Bradi3g54420.1 949 538 84 441 1064 653 599 611
Bradi3g54430.3 257 149 9 149 383 157 110 175
Bradi3g54440.3 0 1 0 0 0 0 0 0
Bradi3g54450.1 0 0 0 0 0 0 0 0
Bradi3g54460.1 1038 688.204 99.128 462 1329 669.202 339.44 558
Bradi3g54470.1 570 546.796 142.872 397 1476 502.798 388.56 440
Bradi3g54472.1 0 0 0 0 0 0 0 4
Bradi3g54475.3 14 12 4 9 52 22 15 19
Bradi3g54480.1 73 63 9 25 126 26 42 32
Bradi3g54490.1 2509 2475 336 1986 5588 2718 1598 2462
Bradi3g54493.1 133 160 14 81 532 394 154 166
Bradi3g54495.1 411.784 680.224 340.418 313.768 1439.316 843.042 498.405 577.162
Bradi3g54500.1 457 442 63 329 1082 672 385 355.991
Bradi3g54503.1 0 0 2 0 4 1 0 1.009
Bradi3g54507.4 52 53 0 34 80 21 37 49
Bradi3g54511.1 0 0 0 0 0 0 0 0
Bradi3g54520.1 3590.885 3511.789 1154.579 2105.389 8244.983 4765.938 2697.272 3444.217
Bradi3g54530.3 954.761 1194.001 266 576 2759.999 1270 643.992 843.993
Bradi3g54540.1 91 96 70 76 220 196 127 105
Bradi3g54550.1 699 495 86 508 1245 804 516 747
Bradi3g54553.2 0 16 0 5 31 8 1 2
Bradi3g54557.3 240 209 19 126 443 202 197 185
Bradi3g54578.2 0 0 0 0 0 0 1 3
Bradi3g54587.1 0 0 0 3 2 0 2 0
Bradi3g54590.7 295 185 16 185 521 194 170 222
Bradi3g54597.9 1584.238 1172.426 123.095 996.034 2515.135 1043.084 749.347 1441.331
Bradi3g54610.1 0 13 0 1 14 14 14 7
Bradi3g54630.1 682 656 136 495 1798 1053 623 630
Bradi3g54640.4 193 233 54 85 395 166 121 143
Bradi3g54650.1 17 15 7 24 65 19 33 20
Bradi3g54660.1 190 252 55 187 568 239 156 190
Bradi3g54670.1 1074 1328 194 702 2107 1128 835 882
Bradi3g54680.2 368 477 75 227 798 501 243 259
Bradi3g54690.1 2104 1425 273 1789 3743 1494 1250 2453
Bradi3g54700.1 1160 1024 186 726 1932 965 876 754
Bradi3g54710.1 879 788 173 561 1927 720 442 549
Bradi3g54714.1 0 0 6 0 8 0 0 0
Bradi3g54717.1 0 2 0 1 8 3 0 4
Bradi3g54720.4 2015 1016 340 1920 4922 1880 1048 1973
Bradi3g54730.3 99 132 51 71 188 124 116 166
Bradi3g54740.3 2883 1608 213 1915 4394 2023 1137 2443
Bradi3g54750.2 1897 850 145 724 1810 1144 816 1288
Bradi3g54760.1 129 59 23 65 167 117 89 94
Bradi3g54770.1 0 3 0 17 61 11 0 3
Bradi3g54774.2 0 0 0 0 0 0 0 0
Bradi3g54776.1 0 0 0 0 0 0 0 0
Bradi3g54780.3 28 16 6 19 45.965 13 17 19
Bradi3g54791.1 0 1 0 0 0 0 0 0
Bradi3g54800.1 0 15.125 5.097 4 37 9 3 5
Bradi3g54807.1 510 346 49 452 1025 654 366 624
Bradi3g54817.1 69 95 40 82 506 127 92 159
