HJ8s_33_S1 HJ28s_17_S3 HJ35_22s_34 HJ100s_26_S5 HJ154s_28_S6 HJ170s_35_S7 HJ172s_31_S8 HJ183s_32_S9
Bradi1g02593.1 0 0 0 0 0 0 0 0
Bradi1g02597.1 2185 1344 182 1258 2766 1278 999 1512
Bradi1g02610.1 572 561 100 392 1131 541 315 452
Bradi1g02621.1 1352.385 693 107 687.426 1852.943 936 875.453 833.393
Bradi1g02630.1 1693.615 1641 211 689.574 3059.057 1360 798.547 931.607
Bradi1g02635.1 3035 3346 438 1374 3921 2759 1398 1588
Bradi1g02640.1 1113.018 854.388 383.51 1240.67 2174.485 2348.99 1798.923 1693.567
Bradi1g02645.1 0 0 0 0 5 1 1 0
Bradi1g02650.1 1452.982 970.612 415.49 1272.33 2786.515 2325.01 1886.077 1645.433
Bradi1g02670.2 0 0 0 0 0 0 0 0
Bradi1g02680.2 202 89 17 144 221 163 115 211
Bradi1g02685.1 0 0 0 0 0 1 3 0
Bradi1g02690.1 23 35 6 12 143 46.005 30 41
Bradi1g02697.1 143 120 28 91 323 255 160 190
Bradi1g02710.1 736 986 130 436 2512 998 385 448
Bradi1g02720.4 575 463 66 402 1218 552 275 558
Bradi1g02730.1 170.201 180.277 48.007 117.979 300.23 179.01 167.009 226.014
Bradi1g02736.1 0 0 0 0 0 0 0 0
Bradi1g02740.1 716.799 748.723 94.993 437.021 1363.77 754.99 549.991 487.986
Bradi1g02750.1 18 3 4 21 11 35 27 18
Bradi1g02755.1 0 0 0 0 0 0 0 0
Bradi1g02760.1 1600 1155 157 1003 2326 1111 788 1592
Bradi1g02770.1 2852 3092 214 2211 7293 1918 1134 1947
Bradi1g02780.1 287 193 31 155 522 286 172 231
Bradi1g02790.1 2 0 0 0 0 2 3 0
Bradi1g02800.2 1797 1695 224 1312 3662 1397 823 1394
Bradi1g02805.1 200 148 108 230 419 175 214 437
Bradi1g02810.1 1650 1283 295 957 1830 2007 1182 1800
Bradi1g02820.3 0 0 0 0 0 0 0 0
Bradi1g02830.3 25 31 1 1 9 7 4 11
Bradi1g02840.1 156 136.002 40.004 73.987 234.786 84.378 55 119.148
Bradi1g02853.1 6 12 3 1 26 5 5 22
Bradi1g02866.1 31.001 0 0 5 2 4 2 6
Bradi1g02880.2 216 260.998 46.688 177.013 402.991 231.622 157.044 185.998
Bradi1g02890.5 140 136 19 77 235.224 160 75 113.304
Bradi1g02900.2 15 45 8.308 12 75 50 10.956 35.549
Bradi1g02910.6 164 116 14 71 182 123 108 125
Bradi1g02920.1 151 110 40 104 350 197 144 203
Bradi1g02930.1 743 992 197 498 1998 850 810 644
Bradi1g02940.3 12838 12810 2766 7860 25232 14503 7894 10118
Bradi1g02950.1 678 524 140 388 1019 704 455 534
Bradi1g02960.5 2144 2073 478 1465 4485 2099 1459 2094
Bradi1g02971.1 7 6.002 0.822 11.002 24.942 25.003 21.005 16.003
Bradi1g02980.2 664 420 61 546 1324 564 362 691.766
Bradi1g02985.1 0 0 0 0 0 0 0 0
Bradi1g02990.1 412 464 61 315 1042 586 455 446
Bradi1g03000.1 17 64 35 21 116 66 39 17
Bradi1g03010.1 347 278 44 189 637 349 216 261
Bradi1g03020.1 1140.909 810.128 268 612.087 1614.035 1029 971.605 1069
Bradi1g03030.1 1089 772 69 508 1900 865 663 783
Bradi1g03040.1 18 10 0 11 13 21 20 10
Bradi1g03050.1 497 292 41 268 721 499 264 357
Bradi1g03056.1 6 1 0 7 8 20 12 4
Bradi1g03070.1 0 0 0 0 0 0 0 0
Bradi1g03080.2 0 0 0 0 0 0 0 0
Bradi1g03090.1 0 56.98 21.771 13.768 208.946 69.679 52.434 47.797
Bradi1g03100.1 0 0 0 0 0 0 1 0
Bradi1g03105.2 0 0 0 0 0 0 0 0
Bradi1g03110.2 404 450 129 170 1639 307 289 500
Bradi1g03120.1 433 283 28 257 717 313 223 222
Bradi1g03130.1 947 905 190 496 1926 913 705 764
Bradi1g03136.2 13 24 3 11 37 8.455 20 14
Bradi1g03142.1 61 56.122 12 25.857 203.032 59.258 23.275 52.284
Bradi1g03150.3 348.489 261.007 28.999 116.995 546.012 233.986 142.952 228.971
Bradi1g03160.1 1027 860 183 590 1992 709 461 781
Bradi1g03170.1 1320 1079.196 165 825.005 2332 1172 915 1214
Bradi1g03180.1 6503 2610 765 5205 9120 4886 3588 6039
Bradi1g03185.1 21.385 17.016 15.004 10.458 51.64 32.065 11.78 24.455
Bradi1g03191.1 69.615 69.984 9.996 27.542 131.36 48.935 59.22 72.545
Bradi1g03193.1 0 0 0 0 0 0 0 0
Bradi1g03196.2 52 9 13 12 24 7 8 13
Bradi1g03200.2 14 0 0 0 0 2 0 2
Bradi1g03207.1 36 47 34 13 204 48 32 33
Bradi1g03220.1 2222 2008 689 1987 5528 3392 2341 2912
Bradi1g03230.1 0 0 0 0 0 0 0 0
Bradi1g03235.9 3 1 0 1 6 14 3.001 7
Bradi1g03240.3 0 3 0 0 1 0 0 0
Bradi1g03245.1 0 0 0 0 0 0 0 0
Bradi1g03250.2 7795 4805 670 4775 11961 4331 2725 4641
Bradi1g03260.1 90 67 19 88 219 154 116 138
Bradi1g03270.3 547 487.343 44 334 867 476 314 385
Bradi1g03277.2 0 0 0 0 0 0 3 1
Bradi1g03283.1 218 157.657 31 125 473 267 239 233
Bradi1g03290.1 162.511 186.993 34.001 87.005 437.988 220.014 115.048 165.029
Bradi1g03298.1 0 1 0 7 3 2 3 9
Bradi1g03307.3 52 36 7 11 39 35.525 1 25
Bradi1g03313.1 0 2 0 0 0 0 0 0
Bradi1g03320.3 0 1.153 0 6.04 6.073 0 0 3.007
Bradi1g03330.1 12 22 0 12 47 76 27 25
Bradi1g03340.1 3392 4399 2088 3142 13345 5133 2576 2123
Bradi1g03350.1 24 40 3 27 103 13 22 25
Bradi1g03355.1 0 1 2 2 1 1 4 1
Bradi1g03360.3 0 0 0 0 0 0 0 0
Bradi1g03363.1 31 9 4 19 38 17 15 19
Bradi1g03367.2 168 192 34 138 248 243 118 160
Bradi1g03380.1 1911 1034 126 886 2056 930 796 1118
Bradi1g03392.1 42 35 9 46 105 86 74 74
Bradi1g03400.1 691 407 131 439 1030 913 585 914
Bradi1g03410.1 1014 1371 304 821 4312 2857 1526 1068
Bradi1g03420.1 754 503 61 469 1241 586 536 602
Bradi1g03440.1 1684 1528 261 1030 2842 1519 872 1313
Bradi1g03450.2 324 241 88 473 658 669 406 705
Bradi1g03461.1 95.709 123.847 38.999 60 297.976 183.959 106.96 160.978
Bradi1g03470.1 692.291 657.153 85.001 307 982.024 532.041 353.04 498.022
Bradi1g03480.1 145.479 106.811 21.306 128 279.232 165.124 98.364 176.233
Bradi1g03483.1 21 15.014 40.963 6 79 54.969 26 17
Bradi1g03484.1 0 0 0 0 0 0 0 0
Bradi1g03486.1 28.521 7.189 8.694 0 50.768 27.876 19.636 43.767
Bradi1g03490.2 845.435 947.031 129.15 510 1568.11 912.257 581.016 646.82
Bradi1g03500.1 102 137 38 36 151 201 284 239
Bradi1g03510.1 28 262 68 12 41 446 552 225
Bradi1g03530.6 956 986 140 910 1981 836 606 1130
Bradi1g03537.1 1 16 11 22 89 12 15 7
Bradi1g03550.1 783 673 87 497 1667 633 426 653
Bradi1g03556.1 0 0 0 5 7 3 3 4
Bradi1g03560.1 478.12 391.762 67.35 293.241 857.666 348.652 268.68 269.579
Bradi1g03580.2 307 193 69 155 354 206 218 241
Bradi1g03590.1 414.995 400.057 45.466 305.303 804.17 403.475 238.325 325.301
Bradi1g03595.1 55 33 26 26 117 33 36 35
Bradi1g03600.1 121 101 42 103 261 198 240 115
Bradi1g03605.1 18 20 20 2 36 17 3 36
Bradi1g03610.1 625 678 114 549 1691 920 450 454
Bradi1g03620.3 497 434 73 207 685 374 234 334
Bradi1g03627.1 0 3 7 6 12 22 24 6
Bradi1g03633.1 14 4 1 4 9 4 1 14
Bradi1g03640.1 407 347 85 225 621 424 228 543
Bradi1g03650.1 98 83 28 100 250 129 79 149
Bradi1g03660.1 442 405 29 294 721 343 200 314
Bradi1g03670.5 18 32 8 12 83 30 56 31
Bradi1g03672.1 0 0 0 0 0 0 0 0
Bradi1g03675.2 12 13 0 2 7 4 3 5
Bradi1g03681.1 0 0 3 1 0 0 0 0
Bradi1g03686.1 88 118 25 84 466 52 20 11
Bradi1g03690.1 463 262 72 288 963 321 182 355
Bradi1g03700.1 228 185 35 76 358 221 144 161
Bradi1g03710.2 52 64 8 44 125 60 51 53
Bradi1g03720.1 60907.98 47874.246 7202.003 36065.627 97556.951 35162.992 35385.998 31641.998
Bradi1g03730.1 1280 975 188 832.446 1991.122 1052 748 1080.455
Bradi1g03737.5 209 138 37 107.196 335 167 111 142.013
Bradi1g03750.1 7144 8132 1713 4394 19241 7349 4220 6447
Bradi1g03760.1 544 936 310 605 3214 988 818 944
Bradi1g03770.2 0 18 4 6 206 9 0 0
Bradi1g03780.1 8 16 0 13 155 1 2 1
